,품목,단위,가격,이름,주소,구,위도,경도
0,사과(부사),1개,1245.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
1,배,1개,2725.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
2,배추(2.5~3kg),1포기,7480.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
3,무(1kg),1개,3100.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
4,양파(1.5kg망),1.5kg,4150.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
5,상추(100g),100g,1390.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
6,오이(다다기),1개,916.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
7,애호박,1개,990.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
8,쇠고기(한우1등급),100g ,5080.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
9,돼지고기(생삼겹살),100g ,2880.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
10,닭고기(육계),1마리 1kg,6980.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
11,달걀(15개),15구,5980.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
12,달걀(30개),30개,6480.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
13,"조기(냉동,수입산)",1마리 25cm ,2880.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
14,"명태(냉동,수입산)",1마리 45cm ,4580.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
15,"오징어(냉동,수입산)",1마리 30cm,3280.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
16,"고등어(냉동,국산)",1마리 35cm,4165.0,이마트 용산점,서울특별시 용산구 한강대로23길 55,용산구,37.5301906,126.9651428
17,"사과(부사, 300g)",1개 ,1196.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
18,"배(신고, 600g)",1개 ,2500.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
19,배추(2.5~3kg),1포기 ,7480.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
20,무,1개 ,2480.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
21,양파(1.5kg망),1망 (1.5kg),4150.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
22,상추,100g ,1090.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
23,오이(다다기),1개 ,1396.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
24,호박(인큐베이터),1개 ,1380.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
25,"쇠고기(한우,불고기)",100g ,5880.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
26,돼지고기(삼겹살),100g ,3780.0,이마트 미아점,서울특별시 성북구 길음동 도봉로 17,성북구,37.6094509,127.0301309
