,STN_NM,위도,경도,주소
0,종로2가사거리,37.569764151714935,126.98778615340107,"서울 한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
1,창경궁.서울대학교병원,37.57917885920945,126.99652015969777,"창경궁, 185, 창경궁로, 종로1·2·3·4가동, 종로구, 서울, 03075, 대한민국"
2,명륜3가.성대입구,37.582708819813845,126.9982901624995,"Subway, 창경궁로, 혜화동, 종로구, 서울, 03075, 대한민국"
3,종로2가.삼일교,37.56858223421129,126.98750720179692,"서울 한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
4,혜화동로터리.여운형활동터,37.58622998281375,127.00169434940123,"혜화동로터리.여운형활동터, 창경궁로, 혜화동, 종로구, 서울, 03075, 대한민국"
5,서대문역사거리,37.5662075242145,126.96696079499992,"서대문역 3번 출구, 새문안로, 교남동, 종로구, 서울, 03735, 대한민국"
6,서울역사박물관.경희궁앞,37.569098089915805,126.97041990059876,"서울역사박물관.경희궁앞, 새문안로, 사직동, 종로구, 서울, 03177, 대한민국"
7,서울역사박물관.경희궁앞,37.56933601661409,126.97044196699798,"서울역사박물관.경희궁앞, 새문안로, 사직동, 종로구, 서울, 03177, 대한민국"
8,광화문,37.570043000912776,126.97448399999637,"S타워, 덕수궁길, 사직동, 종로구, 서울, 03186, 대한민국"
9,광화문,37.57029571051025,126.97809085490162,"교보생명빌딩, 1, 종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03154, 대한민국"
10,종로1가,37.57007190071193,126.98091669299436,"종로1가, 종로 자전거 전용로, 종로1·2·3·4가동, 종로구, 서울, 03188, 대한민국"
11,종로1가,37.5702666078094,126.98139059019648,"서울한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
12,종로2가,37.57008725290856,126.98554111400084,"서울 한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
13,종로2가,37.57026795081342,126.98625404449749,"서울 한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
14,종로3가.탑골공원,37.57018100091073,126.98942199999934,"서울한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
15,종로3가.탑골공원,37.57038869401219,126.98996825030032,"서울 한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
16,종로4가.종묘,37.57041688101037,126.99472866760334,"GS25, 종로 자전거 전용로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03139, 대한민국"
17,종로4가.종묘,37.5706002894135,126.99527695359971,"종로4가종묘, 종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03139, 대한민국"
18,종로5가.광장시장,37.57071570920897,126.99885330130547,"종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03129, 대한민국"
19,종로5가.광장시장,37.5709076401156,126.9993198827045,"종로5가.광장시장(중), 종로, 종로3가, 종로1·2·3·4가동, 종로구, 서울, 03129, 대한민국"
20,종로6가.동대문종합시장,37.57091778131464,127.00346884089656,"종로6가, 종로 자전거 전용로, 종로5·6가동, 종로구, 서울, 03126, 대한민국"
21,종로6가.동대문종합시장,37.57115181291017,127.00570936110498,"종로, 종로5·6가동, 종로구, 서울, 03126, 대한민국"
22,동대문역.흥인지문,37.57228008231602,127.01346206950204,"동대문, 종로, 창신1동, 종로구, 서울, 03121, 대한민국"
23,동대문(흥인지문),37.572167193715416,127.0124927764024,"동대문, 302, 종로, 창신2동, 종로구, 서울, 03121, 대한민국"
24,동묘앞,37.57343200091496,127.01753300000286,"종로김밥, 종로, 숭인2동, 종로구, 서울, 02586, 대한민국"
25,동묘앞,37.5743037209086,127.0196389758026,"숭인동, 종로, 숭인2동, 종로구, 서울, 02586, 대한민국"
26,경기상고,37.58757389961064,126.96943260069918,"경기상고, 자하문로, 청운효자동, 종로구, 서울, 03032, 대한민국"
27,신교동,37.58327347781274,126.97034652290375,"효자동, 자하문로, 청운효자동, 종로구, 서울, 03032, 대한민국"
28,경기상고,37.58717107861081,126.96967011409734,"경복고등학교, 9, 자하문로28가길, 청운효자동, 종로구, 서울, 03047, 대한민국"
29,경복고교,37.58511247760909,126.97104371350444,"경복고교, 자하문로28길, 청운효자동, 종로구, 서울, 03032, 대한민국"
30,청운중학교,37.58790085421453,126.97259443890542,"청운중학교, 창의문로, 청운효자동, 종로구, 서울, 03048, 대한민국"
31,자하문고개.윤동주문학관,37.592193579615625,126.96712824009708,"자하문고개, 윤동주시인의언덕, 창의문로, 청운효자동, 종로구, 서울, 03048, 대한민국"
32,자하문고개.윤동주문학관,37.59225740741213,126.9671676756046,"자하문고개, 창의문로, 청운효자동, 종로구, 서울, 03048, 대한민국"
33,청운중학교,37.58812865741469,126.97246145070106,"청운중학교, 창의문로, 청운효자동, 종로구, 서울, 03048, 대한민국"
34,경복고교,37.58504593241533,126.97114796230504,"경복고교, 자하문로28길, 청운효자동, 종로구, 서울, 03032, 대한민국"
35,통인시장종로구보건소,37.58033173560933,126.971108860095,"통인시장종로구보건소, 자하문로, 청운효자동, 종로구, 서울, 03032, 대한민국"
36,통인시장종로구보건소,37.58048929501178,126.97124404200495,"통인시장종로구보건소, 자하문로14길, 청운효자동, 종로구, 서울, 03044, 대한민국"
37,효자동,37.58308184111314,126.97053475379674,"효자동, 자하문로, 청운효자동, 종로구, 서울, 03032, 대한민국"
38,사직단.어린이도서관,37.57511252261104,126.96802064540113,"사직공원, 사직로, 사직동, 종로구, 서울, 03027, 대한민국"
39,사직동주민센터,37.576090065411655,126.97131786100005,"사직동주민센터 / 경복궁역, 사직로, 사직동, 종로구, 서울, 03169, 대한민국"
40,경복궁역,37.57688877571339,126.97229221150096,"적선동, 자하문로, 사직동, 종로구, 서울, 03044, 대한민국"
41,경복궁역,37.57764064260769,126.97218435350402,"올리바가든, 16, 자하문로, 사직동, 종로구, 서울, 03044, 대한민국"
42,경복궁,37.57577148820774,126.97879048589648,"영군직소, 사직로, 종로1·2·3·4가동, 종로구, 서울, 03142, 대한민국"
43,KT광화문지사,37.57240450561477,126.9772022826021,"세종문화회관, 175, 세종대로, 종로1·2·3·4가동, 종로구, 서울, 03141, 대한민국"
44,광화문,37.570039819610685,126.97641066519608,"Goryeo Samgyetang ginseng Chix, 새문안로, 사직동, 종로구, 서울, 03186, 대한민국"
45,서울역사박물관.경교장.강북삼성병원,37.56993064051025,126.97138442030094,"전차 381호, 새문안로, 사직동, 종로구, 서울, 03177, 대한민국"
46,광화문.금호아시아나본관앞,37.57020900801158,126.9731310593014,"광화문.금호아시아나본관앞, 새문안로, 사직동, 종로구, 서울, 03186, 대한민국"
47,광화문,37.57023908461349,126.97576754140434,"광화문, 새문안로, 사직동, 종로구, 서울, 03186, 대한민국"
48,세종문화회관,37.57266095080908,126.97671216530468,"세종이야기 충무공이야기, 광화문광장, 사직동, 종로구, 서울, 03172, 대한민국"
49,서울지방경찰청.경복궁역,37.57590104221504,126.9714954530964,"경복궁역 7번출구 앞, 사직로, 사직동, 종로구, 서울, 03169, 대한민국"
50,사직단,37.57494659501598,126.96807049440416,"사직공원, 사직로, 사직동, 종로구, 서울, 03169, 대한민국"
51,광화문광화문빌딩,37.56946034381523,126.976852173204,"광화문.광화문빌딩, 세종대로, 명동, 종로구, 서울, 04520, 대한민국"
52,덕성여중고,37.57573943411426,126.98197311910066,"서울 한양도성, 동소문로, 성북동, 성북구, 서울, 02847, 대한민국"
