,이름,주소,위도,경도
0,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
1,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
2,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
3,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
4,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
5,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
6,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
7,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
8,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
9,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
10,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
11,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
12,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
13,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
14,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
15,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
16,통인시장,서울 종로구 자하문로15길 18,37.580755249999996,126.96999630272558
34,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
35,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
36,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
37,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
38,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
39,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
40,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
41,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
42,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
43,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
44,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
45,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
46,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
47,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
48,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
49,남대문시장,서울 중구 남대문시장4길 21,37.5589236,126.9764402
50,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
51,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
52,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
53,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
54,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
55,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
56,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
57,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
58,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
59,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
60,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
61,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
62,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
63,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
64,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
65,돈암제일시장,서울특별시 성북구 동소문로18길 12-3,37.5917623,127.015963
66,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
67,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
68,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
69,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
70,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
71,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
72,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
73,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
74,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
75,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
76,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
77,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
78,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
79,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
80,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
81,장위골목시장,서울 성북구 돌곶이로39길 16,37.6174734,127.0469532
82,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
83,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
84,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
85,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
86,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
87,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
88,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
89,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
90,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
91,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
92,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
93,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
94,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
95,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
96,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
97,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
98,대림중앙시장,서울 영등포구 디지털로37나길 21,37.4909446,126.8993532
116,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
117,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
118,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
119,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
120,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
121,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
122,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
123,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
124,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
125,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
126,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
127,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
128,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
129,방학동도깨비시장,서울 도봉구 방학동 727-6,37.66442,127.03333
