시도코드,시도명칭,시군구코드,시군구명칭,읍면동코드,읍면동명칭
11,서울특별시,010,종로구,53,사직동
11,서울특별시,010,종로구,54,삼청동
11,서울특별시,010,종로구,55,부암동
11,서울특별시,010,종로구,56,평창동
11,서울특별시,010,종로구,57,무악동
11,서울특별시,010,종로구,58,교남동
11,서울특별시,010,종로구,60,가회동
11,서울특별시,010,종로구,61,종로1·2·3·4가동
11,서울특별시,010,종로구,63,종로5·6가동
11,서울특별시,010,종로구,64,이화동
11,서울특별시,010,종로구,67,창신1동
11,서울특별시,010,종로구,68,창신2동
11,서울특별시,010,종로구,69,창신3동
11,서울특별시,010,종로구,70,숭인1동
11,서울특별시,010,종로구,71,숭인2동
11,서울특별시,010,종로구,72,청운효자동
11,서울특별시,010,종로구,73,혜화동
11,서울특별시,020,중구,52,소공동
11,서울특별시,020,중구,54,회현동
11,서울특별시,020,중구,55,명동
11,서울특별시,020,중구,57,필동
11,서울특별시,020,중구,58,장충동
11,서울특별시,020,중구,59,광희동
11,서울특별시,020,중구,60,을지로동
11,서울특별시,020,중구,65,신당5동
11,서울특별시,020,중구,67,황학동
11,서울특별시,020,중구,68,중림동
11,서울특별시,020,중구,69,신당동
11,서울특별시,020,중구,70,다산동
11,서울특별시,020,중구,71,약수동
11,서울특별시,020,중구,72,청구동
11,서울특별시,020,중구,73,동화동
11,서울특별시,030,용산구,51,후암동
11,서울특별시,030,용산구,52,용산2가동
11,서울특별시,030,용산구,53,남영동
11,서울특별시,030,용산구,57,원효로2동
11,서울특별시,030,용산구,58,효창동
11,서울특별시,030,용산구,59,용문동
11,서울특별시,030,용산구,63,이촌1동
11,서울특별시,030,용산구,64,이촌2동
11,서울특별시,030,용산구,65,이태원1동
11,서울특별시,030,용산구,66,이태원2동
11,서울특별시,030,용산구,69,서빙고동
11,서울특별시,030,용산구,70,보광동
11,서울특별시,030,용산구,71,청파동
11,서울특별시,030,용산구,72,원효로1동
11,서울특별시,030,용산구,73,한강로동
11,서울특별시,030,용산구,74,한남동
11,서울특별시,040,성동구,52,왕십리2동
11,서울특별시,040,성동구,54,마장동
11,서울특별시,040,성동구,55,사근동
11,서울특별시,040,성동구,56,행당1동
11,서울특별시,040,성동구,57,행당2동
11,서울특별시,040,성동구,58,응봉동
11,서울특별시,040,성동구,59,금호1가동
11,서울특별시,040,성동구,62,금호4가동
11,서울특별시,040,성동구,65,성수1가1동
11,서울특별시,040,성동구,66,성수1가2동
11,서울특별시,040,성동구,67,성수2가1동
11,서울특별시,040,성동구,68,성수2가3동
11,서울특별시,040,성동구,69,송정동
11,서울특별시,040,성동구,70,용답동
11,서울특별시,040,성동구,71,왕십리도선동
11,서울특별시,040,성동구,72,금호2·3가동
11,서울특별시,040,성동구,73,옥수동
11,서울특별시,050,광진구,53,화양동
11,서울특별시,050,광진구,54,군자동
11,서울특별시,050,광진구,55,중곡1동
11,서울특별시,050,광진구,56,중곡2동
11,서울특별시,050,광진구,57,중곡3동
11,서울특별시,050,광진구,58,중곡4동
11,서울특별시,050,광진구,59,능동
11,서울특별시,050,광진구,60,구의1동
11,서울특별시,050,광진구,61,구의2동
11,서울특별시,050,광진구,62,구의3동
11,서울특별시,050,광진구,63,광장동
11,서울특별시,050,광진구,64,자양1동
11,서울특별시,050,광진구,65,자양2동
11,서울특별시,050,광진구,66,자양3동
11,서울특별시,050,광진구,67,자양4동
11,서울특별시,060,동대문구,71,회기동
11,서울특별시,060,동대문구,72,휘경1동
11,서울특별시,060,동대문구,73,휘경2동
11,서울특별시,060,동대문구,80,청량리동
11,서울특별시,060,동대문구,81,용신동
11,서울특별시,060,동대문구,82,제기동
11,서울특별시,060,동대문구,83,전농1동
11,서울특별시,060,동대문구,84,전농2동
11,서울특별시,060,동대문구,86,답십리2동
11,서울특별시,060,동대문구,87,장안1동
11,서울특별시,060,동대문구,88,장안2동
11,서울특별시,060,동대문구,89,이문1동
11,서울특별시,060,동대문구,90,이문2동
11,서울특별시,060,동대문구,91,답십리1동
11,서울특별시,070,중랑구,52,면목2동
11,서울특별시,070,중랑구,54,면목4동
11,서울특별시,070,중랑구,55,면목5동
11,서울특별시,070,중랑구,57,면목7동
11,서울특별시,070,중랑구,59,상봉1동
11,서울특별시,070,중랑구,60,상봉2동
11,서울특별시,070,중랑구,61,중화1동
11,서울특별시,070,중랑구,62,중화2동
11,서울특별시,070,중랑구,64,묵1동
11,서울특별시,070,중랑구,65,묵2동
11,서울특별시,070,중랑구,68,망우3동
11,서울특별시,070,중랑구,69,신내1동
11,서울특별시,070,중랑구,70,신내2동
11,서울특별시,070,중랑구,71,면목본동
11,서울특별시,070,중랑구,72,면목3·8동
11,서울특별시,070,중랑구,73,망우본동
11,서울특별시,080,성북구,58,돈암1동
11,서울특별시,080,성북구,59,돈암2동
11,서울특별시,080,성북구,60,안암동
11,서울특별시,080,성북구,61,보문동
11,서울특별시,080,성북구,62,정릉1동
11,서울특별시,080,성북구,63,정릉2동
11,서울특별시,080,성북구,64,정릉3동
11,서울특별시,080,성북구,65,정릉4동
11,서울특별시,080,성북구,66,길음1동
11,서울특별시,080,성북구,68,길음2동
11,서울특별시,080,성북구,71,월곡1동
11,서울특별시,080,성북구,72,월곡2동
11,서울특별시,080,성북구,76,장위1동
11,서울특별시,080,성북구,77,장위2동
11,서울특별시,080,성북구,78,장위3동
11,서울특별시,080,성북구,81,성북동
11,서울특별시,080,성북구,82,삼선동
11,서울특별시,080,성북구,83,동선동
11,서울특별시,080,성북구,84,종암동
11,서울특별시,080,성북구,85,석관동
11,서울특별시,090,강북구,60,번1동
11,서울특별시,090,강북구,61,번2동
11,서울특별시,090,강북구,62,번3동
11,서울특별시,090,강북구,63,수유1동
11,서울특별시,090,강북구,64,수유2동
11,서울특별시,090,강북구,65,수유3동
11,서울특별시,090,강북구,69,삼양동
11,서울특별시,090,강북구,70,미아동
11,서울특별시,090,강북구,71,송중동
11,서울특별시,090,강북구,72,송천동
11,서울특별시,090,강북구,73,삼각산동
11,서울특별시,090,강북구,74,우이동
11,서울특별시,090,강북구,75,인수동
11,서울특별시,100,도봉구,51,쌍문1동
11,서울특별시,100,도봉구,52,쌍문2동
11,서울특별시,100,도봉구,53,쌍문3동
11,서울특별시,100,도봉구,54,쌍문4동
11,서울특별시,100,도봉구,55,방학1동
11,서울특별시,100,도봉구,56,방학2동
11,서울특별시,100,도봉구,57,방학3동
11,서울특별시,100,도봉구,59,창1동
11,서울특별시,100,도봉구,60,창2동
11,서울특별시,100,도봉구,61,창3동
11,서울특별시,100,도봉구,62,창4동
11,서울특별시,100,도봉구,63,창5동
11,서울특별시,100,도봉구,64,도봉1동
11,서울특별시,100,도봉구,65,도봉2동
11,서울특별시,110,노원구,51,월계1동
11,서울특별시,110,노원구,52,월계2동
11,서울특별시,110,노원구,53,월계3동
11,서울특별시,110,노원구,56,공릉2동
11,서울특별시,110,노원구,58,하계1동
11,서울특별시,110,노원구,59,하계2동
11,서울특별시,110,노원구,60,중계본동
11,서울특별시,110,노원구,61,중계1동
11,서울특별시,110,노원구,64,중계4동
11,서울특별시,110,노원구,65,상계1동
11,서울특별시,110,노원구,66,상계2동
11,서울특별시,110,노원구,69,상계5동
11,서울특별시,110,노원구,72,상계8동
11,서울특별시,110,노원구,73,상계9동
11,서울특별시,110,노원구,74,상계10동
11,서울특별시,110,노원구,76,상계3·4동
11,서울특별시,110,노원구,77,상계6·7동
11,서울특별시,110,노원구,78,중계2·3동
11,서울특별시,110,노원구,79,공릉1동
11,서울특별시,120,은평구,51,녹번동
11,서울특별시,120,은평구,52,불광1동
11,서울특별시,120,은평구,55,갈현1동
11,서울특별시,120,은평구,56,갈현2동
11,서울특별시,120,은평구,57,구산동
11,서울특별시,120,은평구,58,대조동
11,서울특별시,120,은평구,59,응암1동
11,서울특별시,120,은평구,60,응암2동
11,서울특별시,120,은평구,65,신사1동
11,서울특별시,120,은평구,66,신사2동
11,서울특별시,120,은평구,67,증산동
11,서울특별시,120,은평구,68,수색동
11,서울특별시,120,은평구,71,진관동
11,서울특별시,120,은평구,72,불광2동
11,서울특별시,120,은평구,73,응암3동
11,서울특별시,120,은평구,74,역촌동
11,서울특별시,130,서대문구,52,천연동
11,서울특별시,130,서대문구,62,홍제1동
11,서울특별시,130,서대문구,64,홍제3동
11,서울특별시,130,서대문구,65,홍제2동
11,서울특별시,130,서대문구,66,홍은1동
11,서울특별시,130,서대문구,68,홍은2동
11,서울특별시,130,서대문구,69,남가좌1동
11,서울특별시,130,서대문구,70,남가좌2동
11,서울특별시,130,서대문구,71,북가좌1동
11,서울특별시,130,서대문구,72,북가좌2동
11,서울특별시,130,서대문구,73,충현동
11,서울특별시,130,서대문구,74,북아현동
11,서울특별시,130,서대문구,75,신촌동
11,서울특별시,130,서대문구,76,연희동
11,서울특별시,140,마포구,59,용강동
11,서울특별시,140,마포구,60,대흥동
11,서울특별시,140,마포구,61,염리동
11,서울특별시,140,마포구,63,신수동
11,서울특별시,140,마포구,66,서교동
11,서울특별시,140,마포구,68,합정동
11,서울특별시,140,마포구,69,망원1동
11,서울특별시,140,마포구,70,망원2동
11,서울특별시,140,마포구,71,연남동
11,서울특별시,140,마포구,72,성산1동
11,서울특별시,140,마포구,73,성산2동
11,서울특별시,140,마포구,74,상암동
11,서울특별시,140,마포구,75,도화동
11,서울특별시,140,마포구,76,서강동
11,서울특별시,140,마포구,77,공덕동
11,서울특별시,140,마포구,78,아현동
11,서울특별시,150,양천구,51,목1동
11,서울특별시,150,양천구,52,목2동
11,서울특별시,150,양천구,53,목3동
11,서울특별시,150,양천구,54,목4동
11,서울특별시,150,양천구,57,신월1동
11,서울특별시,150,양천구,58,신월2동
11,서울특별시,150,양천구,59,신월3동
11,서울특별시,150,양천구,60,신월4동
11,서울특별시,150,양천구,61,신월5동
11,서울특별시,150,양천구,62,신월6동
11,서울특별시,150,양천구,63,신월7동
11,서울특별시,150,양천구,64,신정1동
11,서울특별시,150,양천구,65,신정2동
11,서울특별시,150,양천구,66,신정3동
11,서울특별시,150,양천구,69,신정6동
11,서울특별시,150,양천구,70,신정7동
11,서울특별시,150,양천구,71,목5동
11,서울특별시,150,양천구,72,신정4동
11,서울특별시,160,강서구,51,염창동
11,서울특별시,160,강서구,52,등촌1동
11,서울특별시,160,강서구,53,등촌2동
11,서울특별시,160,강서구,54,등촌3동
11,서울특별시,160,강서구,55,화곡본동
11,서울특별시,160,강서구,57,화곡2동
11,서울특별시,160,강서구,58,화곡3동
11,서울특별시,160,강서구,59,화곡4동
11,서울특별시,160,강서구,61,화곡6동
11,서울특별시,160,강서구,63,화곡8동
11,서울특별시,160,강서구,64,가양1동
11,서울특별시,160,강서구,65,가양2동
11,서울특별시,160,강서구,66,가양3동
11,서울특별시,160,강서구,67,발산1동
11,서울특별시,160,강서구,69,공항동
11,서울특별시,160,강서구,70,방화1동
11,서울특별시,160,강서구,71,방화2동
11,서울특별시,160,강서구,72,방화3동
11,서울특별시,160,강서구,73,화곡1동
11,서울특별시,160,강서구,74,우장산동
11,서울특별시,170,구로구,51,신도림동
11,서울특별시,170,구로구,52,구로1동
11,서울특별시,170,구로구,54,구로3동
11,서울특별시,170,구로구,55,구로4동
11,서울특별시,170,구로구,56,구로5동
11,서울특별시,170,구로구,61,고척1동
11,서울특별시,170,구로구,62,고척2동
11,서울특별시,170,구로구,64,개봉2동
11,서울특별시,170,구로구,65,개봉3동
11,서울특별시,170,구로구,67,오류1동
11,서울특별시,170,구로구,69,수궁동
11,서울특별시,170,구로구,70,가리봉동
11,서울특별시,170,구로구,71,구로2동
11,서울특별시,170,구로구,72,개봉1동
11,서울특별시,170,구로구,73,오류2동
11,서울특별시,170,구로구,74,항동
11,서울특별시,180,금천구,51,가산동
11,서울특별시,180,금천구,52,독산1동
11,서울특별시,180,금천구,53,독산2동
11,서울특별시,180,금천구,54,독산3동
11,서울특별시,180,금천구,55,독산4동
11,서울특별시,180,금천구,57,시흥1동
11,서울특별시,180,금천구,58,시흥2동
11,서울특별시,180,금천구,59,시흥3동
11,서울특별시,180,금천구,60,시흥4동
11,서울특별시,180,금천구,61,시흥5동
11,서울특별시,190,영등포구,54,여의동
11,서울특별시,190,영등포구,55,당산1동
11,서울특별시,190,영등포구,56,당산2동
11,서울특별시,190,영등포구,61,양평1동
11,서울특별시,190,영등포구,62,양평2동
11,서울특별시,190,영등포구,63,신길1동
11,서울특별시,190,영등포구,65,신길3동
11,서울특별시,190,영등포구,66,신길4동
11,서울특별시,190,영등포구,67,신길5동
11,서울특별시,190,영등포구,68,신길6동
11,서울특별시,190,영등포구,69,신길7동
11,서울특별시,190,영등포구,70,대림1동
11,서울특별시,190,영등포구,71,대림2동
11,서울특별시,190,영등포구,72,대림3동
11,서울특별시,190,영등포구,73,영등포본동
11,서울특별시,190,영등포구,74,영등포동
11,서울특별시,190,영등포구,75,도림동
11,서울특별시,190,영등포구,76,문래동
11,서울특별시,200,동작구,52,노량진2동
11,서울특별시,200,동작구,53,상도1동
11,서울특별시,200,동작구,54,상도2동
11,서울특별시,200,동작구,55,상도3동
11,서울특별시,200,동작구,56,상도4동
11,서울특별시,200,동작구,63,사당1동
11,서울특별시,200,동작구,65,사당3동
11,서울특별시,200,동작구,66,사당4동
11,서울특별시,200,동작구,67,사당5동
11,서울특별시,200,동작구,68,대방동
11,서울특별시,200,동작구,69,신대방1동
11,서울특별시,200,동작구,70,신대방2동
11,서울특별시,200,동작구,71,흑석동
11,서울특별시,200,동작구,72,노량진1동
11,서울특별시,200,동작구,73,사당2동
11,서울특별시,210,관악구,52,보라매동
11,서울특별시,210,관악구,54,청림동
11,서울특별시,210,관악구,57,행운동
11,서울특별시,210,관악구,58,낙성대동
11,서울특별시,210,관악구,61,중앙동
11,서울특별시,210,관악구,62,인헌동
11,서울특별시,210,관악구,63,남현동
11,서울특별시,210,관악구,64,서원동
11,서울특별시,210,관악구,65,신원동
11,서울특별시,210,관악구,66,서림동
11,서울특별시,210,관악구,68,신사동
11,서울특별시,210,관악구,69,신림동
11,서울특별시,210,관악구,71,난향동
11,서울특별시,210,관악구,72,조원동
11,서울특별시,210,관악구,73,대학동
11,서울특별시,210,관악구,78,은천동
11,서울특별시,210,관악구,79,성현동
11,서울특별시,210,관악구,80,청룡동
11,서울특별시,210,관악구,81,난곡동
11,서울특별시,210,관악구,82,삼성동
11,서울특별시,210,관악구,83,미성동
11,서울특별시,220,서초구,51,서초1동
11,서울특별시,220,서초구,52,서초2동
11,서울특별시,220,서초구,53,서초3동
11,서울특별시,220,서초구,54,서초4동
11,서울특별시,220,서초구,55,잠원동
11,서울특별시,220,서초구,56,반포본동
11,서울특별시,220,서초구,57,반포1동
11,서울특별시,220,서초구,58,반포2동
11,서울특별시,220,서초구,59,반포3동
11,서울특별시,220,서초구,60,반포4동
11,서울특별시,220,서초구,61,방배본동
11,서울특별시,220,서초구,62,방배1동
11,서울특별시,220,서초구,63,방배2동
11,서울특별시,220,서초구,64,방배3동
11,서울특별시,220,서초구,65,방배4동
11,서울특별시,220,서초구,66,양재1동
11,서울특별시,220,서초구,67,양재2동
11,서울특별시,220,서초구,68,내곡동
11,서울특별시,230,강남구,51,신사동
11,서울특별시,230,강남구,52,논현1동
11,서울특별시,230,강남구,53,논현2동
11,서울특별시,230,강남구,58,삼성1동
11,서울특별시,230,강남구,59,삼성2동
11,서울특별시,230,강남구,60,대치1동
11,서울특별시,230,강남구,63,대치4동
11,서울특별시,230,강남구,64,역삼1동
11,서울특별시,230,강남구,65,역삼2동
11,서울특별시,230,강남구,66,도곡1동
11,서울특별시,230,강남구,67,도곡2동
11,서울특별시,230,강남구,68,개포1동
11,서울특별시,230,강남구,71,개포4동
11,서울특별시,230,강남구,72,일원본동
11,서울특별시,230,강남구,73,일원1동
11,서울특별시,230,강남구,74,일원2동
11,서울특별시,230,강남구,75,수서동
11,서울특별시,230,강남구,76,세곡동
11,서울특별시,230,강남구,77,압구정동
11,서울특별시,230,강남구,78,청담동
11,서울특별시,230,강남구,79,대치2동
11,서울특별시,230,강남구,80,개포2동
11,서울특별시,240,송파구,51,풍납1동
11,서울특별시,240,송파구,52,풍납2동
11,서울특별시,240,송파구,53,거여1동
11,서울특별시,240,송파구,54,거여2동
11,서울특별시,240,송파구,55,마천1동
11,서울특별시,240,송파구,56,마천2동
11,서울특별시,240,송파구,57,방이1동
11,서울특별시,240,송파구,58,방이2동
11,서울특별시,240,송파구,59,오륜동
11,서울특별시,240,송파구,60,오금동
11,서울특별시,240,송파구,61,송파1동
11,서울특별시,240,송파구,62,송파2동
11,서울특별시,240,송파구,63,석촌동
11,서울특별시,240,송파구,64,삼전동
11,서울특별시,240,송파구,65,가락본동
11,서울특별시,240,송파구,66,가락1동
11,서울특별시,240,송파구,67,가락2동
11,서울특별시,240,송파구,68,문정1동
11,서울특별시,240,송파구,69,문정2동
11,서울특별시,240,송파구,71,잠실본동
11,서울특별시,240,송파구,75,잠실4동
11,서울특별시,240,송파구,77,잠실6동
11,서울특별시,240,송파구,78,잠실7동
11,서울특별시,240,송파구,79,잠실2동
11,서울특별시,240,송파구,80,잠실3동
11,서울특별시,240,송파구,81,장지동
11,서울특별시,240,송파구,82,위례동
11,서울특별시,250,강동구,51,강일동
11,서울특별시,250,강동구,52,상일동
11,서울특별시,250,강동구,53,명일1동
11,서울특별시,250,강동구,54,명일2동
11,서울특별시,250,강동구,55,고덕1동
11,서울특별시,250,강동구,56,고덕2동
11,서울특별시,250,강동구,58,암사2동
11,서울특별시,250,강동구,59,암사3동
11,서울특별시,250,강동구,61,천호1동
11,서울특별시,250,강동구,63,천호3동
11,서울특별시,250,강동구,65,성내1동
11,서울특별시,250,강동구,66,성내2동
11,서울특별시,250,강동구,67,성내3동
11,서울특별시,250,강동구,70,둔촌1동
11,서울특별시,250,강동구,71,둔촌2동
11,서울특별시,250,강동구,72,암사1동
11,서울특별시,250,강동구,73,천호2동
11,서울특별시,250,강동구,74,길동
